Nombre;Apellido1;Apellido2;year_nacimiento;year_fallecimiento
Mary;Shelley;;1797;1851
Charles;Dickens;;1812;1870
Anónimo;;;;
Stephen;Hawking;;1942;2018
Robert;Fisher;;1922;2008
Edmondo;De;Amicis;1846;1908
Gabriel;García;Márquez;1927;2014
Agatha;Christie;;1890;1976
René;Descartes;;1596;1650
Sun;Tzu;;-544;-496
Baltasar;Gracián;;1601;1658
Joseph;Conrad;;1857;1924
Jerome David;Salinger;;1919;2010
Sigmund;Freud;;1856;1939
Ernest;Hemingway;;1899;1961
Pío;Baroja;;1872;1956
Epicteto;;;55;135
Jules;Verne;;1828;1905
Robert;Greene;;1959;
Daniel;Greenberg;;1934;2021
Robert Louis;Stevenson;;1850;1894
Franz;Kafka;;1883;1924
Marco Aurelio;Antonino;;121;180
Fyodor;Dostoyevsky;;1821;1881
Miguel;Hernández;;1910;1942
Spencer;Johnson;;1938;2017
Ryunosuke;Akutagawa;;1892;1927
Lucio Anneo;Séneca;;-4;65
Haruki;Murakami;;1949;
Óscar;Calavia;;1959;
Enrique;Páez;;1955;
Albert;Lijanov;;1951;
Lao;Tse;;-604;-531
Stephen Richards;Covey;;1932;2012
Arthur;Schopenhauer;;1788;1860
Viktor;Frankl;;1905;1997
León;Tolstói;;1828;1910
Nicolás;Maquiavelo;;1469;1527
Friedrich;Nietzsche;;1844;1900
Ricardo;Moreno;;1948;
Carlos;Ríos;;1987;
Luis María;Gonzalo;;1948;
Robert;Maurer;;1946;
Antoine;de Saint-Exupéry;;1900;1944
Carlos;Vaz;Ferreira;1872;1958
Massimo;Pigliucci;;1964;
Michael;Morpurgo;;1943;
Mark;Twain;;1835;1910
Anne;de Kervasdoue;;1950;
Byung-Chul;Han;;1959;
Antonio;Martos;;1965;
Jaron;Lanier;;1960;
José;Ortega y Gasset;;1883;1955
Robert;Kiyosaki;;1947;
Thomas J.;Stanley;;1944;2015
Edgar Allan;Poe;;1809;1849
Zygmunt;Bauman;;1925;2017
Cal;Newport;;1982;
George;Orwell;;1903;1950
William;Golding;;1911;1993
Søren;Kierkegaard;;1813;1855
Ryan;Holiday;;1987;
Albert;Camus;;1913;1960
Marcos;Vázquez;;1986;
Primo;Levi;;1919;1987
Aldous;Huxley;;1894;1963
Benito;Pérez;Galdós;1843;1920
José Raúl;Capablanca;;1888;1942
Nassim Nicholas;Taleb;;1960;
Guy;de Maupassant;;1850;1893
Luis Alberto;Machado;;1932;2016
Musashi;Miyamoto;;1584;1645
Gary;Wilson;;1956;2021
Flora;Davis;;1938;
Norman;Doidge;;1949;
Valérie;Zenatti;;1970;
Marcel;Brion;;1895;1984
Jack;London;;1876;1916
Erving;Goffman;;1922;1982
Natalia;de Santiago;;1977;
Isaiah;Berlin;;1909;1997
George S.;Clason;;1874;1957
Brian;Tracy;;1944;
Henry;Hazlitt;;1894;1993
Alex;Dey;;1958;
Willam B.;Irvine;;1952;
Juan Ramón;Rallo;;1984;
Miguel;Ruiz;;1952;
Luis;Pita;;1976;
Richard;Dawkins;;1941;
Virginia;Woolf;;1882;1941
Thomas;Sowell;;1930;
Voltaire;;;1694;1778
David Phillip;Barash;;1946;
Ludwig;Von Mises;;1881;1973
Herbert;Spencer;;1820;1903
Henry David;Thoreau;;1817;1862
Axel;Kaiser;;1971;
Pére;Stupinya;;1974;
Po;Bronson;;1964;
Arthur Conan;Doyle;;1859;1930
Maurizio;de Giovani;;1958;
Yuval Noah;Harari;;1976;
Robert;Glover;;1951;
Alfredo;García;Fernández;1968;
Judith Eve;Lipton;;1943;
