id_bd,titulo,autor,cover_id,url,estado
1,Frankenstein o el moderno prometeo,Mary Shelley,13678546,https://covers.openlibrary.org/b/id/13678546-L.jpg,✓ OK
2,Cuento de Navidad,Charles Dickens,7400302,https://covers.openlibrary.org/b/id/7400302-L.jpg,✓ OK
3,El Lazarillo de Tormes,Anonimo,3359629,https://covers.openlibrary.org/b/id/3359629-L.jpg,✓ OK
4,Breve historia del tiempo,Stephen Hawking,,,✗ NO ENCONTRADO
5,El caballero de la armadura oxidada,Robert Fisher,5271077,https://covers.openlibrary.org/b/id/5271077-L.jpg,✓ OK
6,Corazon,Edmondo De Amicis,5240329,https://covers.openlibrary.org/b/id/5240329-L.jpg,✓ OK
7,Cronica de una muerte anunciada,Gabriel Garcia Marquez,8489859,https://covers.openlibrary.org/b/id/8489859-L.jpg,✓ OK
8,Diez negritos,Agatha Christie,15159936,https://covers.openlibrary.org/b/id/15159936-L.jpg,✓ OK
9,Discurso del metodo,Rene Descartes,3348569,https://covers.openlibrary.org/b/id/3348569-L.jpg,✓ OK
10,El arte de la guerra,Sun Tzu,13723515,https://covers.openlibrary.org/b/id/13723515-L.jpg,✓ OK
11,El arte de la prudencia,Baltasar Gracian,10863198,https://covers.openlibrary.org/b/id/10863198-L.jpg,✓ OK
12,El corazon de las tinieblas,Joseph Conrad,12325082,https://covers.openlibrary.org/b/id/12325082-L.jpg,✓ OK
13,El guardian entre el centeno,J.D. Salinger,10091527,https://covers.openlibrary.org/b/id/10091527-L.jpg,✓ OK
14,El malestar en la cultura,Sigmund Freud,5258660,https://covers.openlibrary.org/b/id/5258660-L.jpg,✓ OK
15,El viejo y el mar,Ernest Hemingway,14289984,https://covers.openlibrary.org/b/id/14289984-L.jpg,✓ OK
16,El arbol de la ciencia,Pio Baroja,,,✗ NO ENCONTRADO
17,Manual de Epicteto,Epicteto,6585530,https://covers.openlibrary.org/b/id/6585530-L.jpg,✓ OK
18,Escuela de Robinsones,Jules Verne,13526764,https://covers.openlibrary.org/b/id/13526764-L.jpg,✓ OK
19,Las 48 leyes del poder,Robert Greene,13482302,https://covers.openlibrary.org/b/id/13482302-L.jpg,✓ OK
20,Por fin libres,Daniel Greenberg,13851312,https://covers.openlibrary.org/b/id/13851312-L.jpg,✓ OK
21,La isla del tesoro,Robert Louis Stevenson,12331377,https://covers.openlibrary.org/b/id/12331377-L.jpg,✓ OK
22,La metamorfosis,Franz Kafka,14073660,https://covers.openlibrary.org/b/id/14073660-L.jpg,✓ OK
23,Las nieves del Kilimanjaro,Ernest Hemingway,,,✗ NO ENCONTRADO
24,Meditaciones,Marco Aurelio,10469464,https://covers.openlibrary.org/b/id/10469464-L.jpg,✓ OK
25,Memorias del subsuelo,Fyodor Dostoyevsky,13975529,https://covers.openlibrary.org/b/id/13975529-L.jpg,✓ OK
26,El rayo que no cesa,Miguel Hernandez,6880094,https://covers.openlibrary.org/b/id/6880094-L.jpg,✓ OK
27,Quien se ha llevado mi queso,Spencer Johnson,1048628,https://covers.openlibrary.org/b/id/1048628-L.jpg,✓ OK
28,Rashomon y otros cuentos,Ryunosuke Akutagawa,13659238,https://covers.openlibrary.org/b/id/13659238-L.jpg,✓ OK
29,Sobre la brevedad de la vida,Seneca,13454302,https://covers.openlibrary.org/b/id/13454302-L.jpg,✓ OK
30,Sobre la felicidad,Seneca,12345067,https://covers.openlibrary.org/b/id/12345067-L.jpg,✓ OK
31,Tokyo Blues,Haruki Murakami,11074301,https://covers.openlibrary.org/b/id/11074301-L.jpg,✓ OK
32,Vida de un loco,Ryunosuke Akutagawa,3344635,https://covers.openlibrary.org/b/id/3344635-L.jpg,✓ OK
33,Amazonia-China,Oscar Calavia,,,✗ NO ENCONTRADO
34,Un secuestro de pelicula,Enrique Paez,5264964,https://covers.openlibrary.org/b/id/5264964-L.jpg,✓ OK
35,Eclipse de sol,Albert Lijanov,,,✗ NO ENCONTRADO
36,Tao te Ching,Lao Tse,662232,https://covers.openlibrary.org/b/id/662232-L.jpg,✓ OK
37,El discreto,Baltasar Gracian,2269576,https://covers.openlibrary.org/b/id/2269576-L.jpg,✓ OK
38,7 habitos de la gente altamente efectiva,Stephen Covey,1051915,https://covers.openlibrary.org/b/id/1051915-L.jpg,✓ OK
39,De la firmeza del sabio,Seneca,,,✗ NO ENCONTRADO
40,El arte de tener la razon,Arthur Schopenhauer,13763688,https://covers.openlibrary.org/b/id/13763688-L.jpg,✓ OK
41,De la ira,Seneca,13660066,https://covers.openlibrary.org/b/id/13660066-L.jpg,✓ OK
42,El hombre en busca de sentido,Viktor Frankl,,,✗ NO ENCONTRADO
43,El poder de las tinieblas,Leon Tolstoi,12330953,https://covers.openlibrary.org/b/id/12330953-L.jpg,✓ OK
44,El principe,Nicolas Maquiavelo,12328579,https://covers.openlibrary.org/b/id/12328579-L.jpg,✓ OK
45,Relato de un naufrago,Gabriel Garcia Marquez,9486827,https://covers.openlibrary.org/b/id/9486827-L.jpg,✓ OK
46,Asi hablo Zarathustra,Friedrich Nietzsche,12903097,https://covers.openlibrary.org/b/id/12903097-L.jpg,✓ OK
47,Lord Edgware Dies,Agatha Christie,9492111,https://covers.openlibrary.org/b/id/9492111-L.jpg,✓ OK
48,Kafka en la orilla,Haruki Murakami,,,✗ NO ENCONTRADO
49,Trece cartas a Dios,Ricardo Moreno,,,✗ NO ENCONTRADO
50,De la tranquilidad del animo,Seneca,12072346,https://covers.openlibrary.org/b/id/12072346-L.jpg,✓ OK
51,Come comida real,Carlos Rios,10412369,https://covers.openlibrary.org/b/id/10412369-L.jpg,✓ OK
52,Asesinato en el Orient Express,Agatha Christie,10527425,https://covers.openlibrary.org/b/id/10527425-L.jpg,✓ OK
53,El sueno,Luis Maria Gonzalo,6670184,https://covers.openlibrary.org/b/id/6670184-L.jpg,✓ OK
54,El metodo Kaizen,Robert Maurer,,,✗ NO ENCONTRADO
55,El Principito,Antoine de Saint-Exupery,13499066,https://covers.openlibrary.org/b/id/13499066-L.jpg,✓ OK
56,Cards on the table,Agatha Christie,6469172,https://covers.openlibrary.org/b/id/6469172-L.jpg,✓ OK
57,Logica viva,Carlos Vaz Ferreira,4369796,https://covers.openlibrary.org/b/id/4369796-L.jpg,✓ OK
58,Como ser un estoico,Massimo Pigliucci,11290703,https://covers.openlibrary.org/b/id/11290703-L.jpg,✓ OK
59,El reino de Kensuke,Michael Morpurgo,,,✗ NO ENCONTRADO
60,Principe y mendigo,Mark Twain,13527937,https://covers.openlibrary.org/b/id/13527937-L.jpg,✓ OK
61,El cuerpo femenino,Anne de Kervasdoue,13704158,https://covers.openlibrary.org/b/id/13704158-L.jpg,✓ OK
62,La vuelta al mundo en 80 dias,Jules Verne,11637458,https://covers.openlibrary.org/b/id/11637458-L.jpg,✓ OK
63,De la vida bienaventurada,Seneca,3326429,https://covers.openlibrary.org/b/id/3326429-L.jpg,✓ OK
64,En el enjambre,Byung-Chul Han,14550155,https://covers.openlibrary.org/b/id/14550155-L.jpg,✓ OK
65,La sociedad de la transparencia,Byung-Chul Han,,,✗ NO ENCONTRADO
66,La sociedad del cansancio,Byung-Chul Han,,,✗ NO ENCONTRADO
67,1Q84 libros 1 y 2,Haruki Murakami,,,✗ NO ENCONTRADO
